eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic

861000,ISC,ISC|USCGS-mb,1965,1,12,9,20,36.49,1.02,121.4535,8.5918,33.68,10.45,72.0,10.0,,5.83,0.283,
861076,ISC-EHB,ISC-EHB|USCGS-mb,1965,1,14,17,21,18.97,,126.665,2.313,22.1,9.1,67.0,100.0,,5.72,0.283,
861104,ISC-EHB,ISC-EHB|USCGS-mb,1965,1,15,18,34,11.46,,121.616,23.469,6.9,4.8,61.0,53.0,3.8,5.83,0.283,
861210,ISC,ISC|USCGS-mb,1965,1,20,12,51,58.13,0.65,128.3394,2.5741,23.8,7.882,67.0,100.0,,4.67,0.283,
861290,ISC,ISC|USCGS-mb,1965,1,23,16,1,13.54,1.04,119.7694,13.7136,25.91,11.85,154.0,16.0,,4.21,0.283,
861298,ISC-EHB,ISC-EHB|USCGS-mb,1965,1,23,23,24,30.97,,123.799,7.416,9.8,4.6,62.0,619.0,5.2,5.48,0.283,
861340,ISC,ISC|USCGS-mb,1965,1,25,12,15,34.98,0.78,125.9624,6.0032,26.24,13.29,66.0,160.0,,5.48,0.283,
861526,ISC,ISC|USCGS-mb,1965,1,31,23,9,17.91,0.8,127.1192,1.4809,36.54,10.13,66.0,128.0,,5.48,0.283,
859203,ISC-EHB,ISC-EHB|ISC-Mb,1965,2,4,4,33,7.41,,128.604,3.927,14.4,8.9,63.0,15.0,,5.6,0.384,
859910,ISC,ISC|USCGS-mb,1965,2,9,1,43,2.64,0.75,127.0387,1.141,32.27,12.38,57.0,100.0,,5.83,0.283,
860026,ISC,ISC|USCGS-mb,1965,2,11,8,53,22.88,0.69,122.4718,23.8975,10.13,5.194,94.0,27.0,,5.37,0.283,
860101,EHB,EHB|USCGS-mb,1965,2,12,19,13,36.59,,126.254,9.699,15.4,8.2,73.0,71.0,,5.48,0.283,
860147,ISC-EHB,ISC-EHB|USCGS-mb,1965,2,13,22,51,24.46,,121.177,19.077,12.1,10.4,51.0,35.0,,5.02,0.283,
860207,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1965,2,15,10,43,29.1,,125.951,3.026,8.7,4.4,,100.0,5.0,5.93,0.76,
860224,ISC,ISC|USCGS-mb,1965,2,15,20,1,43.44,0.81,125.8635,13.3078,27.68,12.58,26.0,27.0,,5.02,0.283,
