eventID,datetime,year,month,day,hour,minute,second,latitude,longitude,depth,magnitude,location,magnitudeType,event_type
61240604,2020-04-02 22:29:08+00:00,2020,04,02,22,29,08,11.24,126.6,22,4.5,099 km N 77° E of Guiuan (Eastern Samar),Ms,TECTONIC
61272617,2022-07-02 19:56:05+00:00,2022,07,02,19,56,05,13.06,124.28,10,4.5,009 km N 77° E of Prieto Diaz (Sorsogon),Ms,TECTONIC
61278676,2022-10-02 16:01:10+00:00,2022,10,02,16,01,10,9.3,126.83,7,4.5,070 km N 88° E of Cortes (Surigao Del Sur),Ms,TECTONIC
61278689,2022-10-02 10:57:54+00:00,2022,10,02,10,57,54,2.23,127.9,181,4.5,447 km S 38° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),Ms,TECTONIC
61200921,2015-07-03 06:43:00+00:00,2015,07,03,06,43,00,10.31,126.38,26,6.1,047 km N 47° E of Burgos (Surigao del Norte),Mw,TECTONIC
61203147,2015-07-03 06:43:00+00:00,2015,07,03,06,43,00,10.31,126.38,26,6.1,047 km N 47° E of Burgos (Surigao del Norte),Mw,TECTONIC
61204637,2015-07-03 06:43:00+00:00,2015,07,03,06,43,00,10.31,126.38,26,6.1,047 km N 47° E of Burgos (Surigao del Norte),Mw,TECTONIC
61206277,2015-07-03 06:43:00+00:00,2015,07,03,06,43,00,10.31,126.38,26,6.1,047 km N 47° E of Burgos (Surigao del Norte),Mw,TECTONIC
61207205,2015-07-03 06:43:00+00:00,2015,07,03,06,43,00,10.31,126.38,26,6.1,047 km N 47° E of Burgos (Surigao del Norte),Mw,TECTONIC
61208245,2015-07-03 06:43:00+00:00,2015,07,03,06,43,00,10.31,126.38,26,6.1,047 km N 47° E of Burgos (Surigao del Norte),Mw,TECTONIC
61209644,2015-07-03 06:43:00+00:00,2015,07,03,06,43,00,10.31,126.38,26,6.1,047 km N 47° E of Burgos (Surigao del Norte),Mw,TECTONIC
61222824,2018-07-03 09:59:53+00:00,2018,07,03,09,59,53,5.8,125.21,95,5.6,004 km S 42° E of Glan (Sarangani),Ms,TECTONIC
61266617,2022-04-03 10:24:52+00:00,2022,04,03,10,24,52,9.16,126.88,4,5.6,069 km N 73° E of Bayabas (Surigao Del Sur),Mw,TECTONIC
61220490,2018-04-03 09:14:05+00:00,2018,04,03,09,14,05,3.1,127.96,102,5.5,378 km S 47° E of Sarangani (Davao Occidental),Ms,TECTONIC
61266602,2022-04-03 15:29:36+00:00,2022,04,03,15,29,36,9.12,126.88,5,5.5,067 km N 75° E of Bayabas (Surigao Del Sur),Mw,TECTONIC
61266614,2022-04-03 11:21:59+00:00,2022,04,03,11,21,59,9.17,127.03,1,5.4,085 km N 75° E of Bayabas (Surigao Del Sur),Mw,TECTONIC
61213823,2016-11-03 15:21:07+00:00,2016,11,03,15,21,07,5.88,126.17,10,5.3,063km S 56° E of Don Marcelino (Davao Occidental),Ms,TECTONIC
61222827,2018-07-03 04:25:54+00:00,2018,07,03,04,25,54,13.93,120.42,119,5.2,028 km S 52° W of Nasugbu (Batangas),Ms,TECTONIC
61212976,2016-06-03 11:50:18+00:00,2016,06,03,11,50,18,20.4,120.45,43,5.1,152 km S 73° W of Itbayat (Batanes),Ms,TECTONIC
61213221,2016-03-03 16:23:02+00:00,2016,03,03,16,23,02,3.59,126.19,96,5.1,219 km S 21°E of Sarangani (Davao Occidental),Ms,TECTONIC
61278638,2022-10-03 08:07:49+00:00,2022,10,03,08,07,49,9.97,126.38,13,5.1,032 km N 50° E of General Luna (Surigao Del Norte),Mw,TECTONIC
61234743,2019-05-03 22:22:34+00:00,2019,05,03,22,22,34,3.76,126.6,21,4.9,223 km S 34° E of Sarangani (Davao Occidental),Ms,TECTONIC
